instance,goal,verdict,duration
exp_acyclic_depvary_step2_batch_yyy03.pl,q1,yes,5
exp_acyclic_depvary_step2_batch_yyy04.pl,c1,yes,6
exp_acyclic_depvary_step2_batch_yyy04.pl,d1,no,6
exp_acyclic_depvary_step2_batch_yyy05.pl,a2,no,6
exp_acyclic_depvary_step2_batch_yyy05.pl,q1,no,5
exp_acyclic_depvary_step2_batch_yyy05.pl,a1,no,5
exp_acyclic_depvary_step2_batch_yyy05.pl,b2,no,1
exp_acyclic_depvary_step2_batch_yyy05.pl,r1,yes,1
exp_acyclic_depvary_step2_batch_yyy07.pl,b1,no,4
exp_acyclic_depvary_step2_batch_yyy07.pl,d1,no,3
exp_acyclic_depvary_step2_batch_yyy08.pl,b1,no,3
exp_acyclic_depvary_step2_batch_yyy08.pl,p1,no,1
exp_acyclic_depvary_step2_batch_yyy08.pl,c2,no,2
exp_acyclic_depvary_step2_batch_yyy08.pl,d1,yes,2
exp_acyclic_depvary_step2_batch_yyy09.pl,f1,no,5
exp_acyclic_depvary_step2_batch_yyy10.pl,a1,yes,6
exp_acyclic_depvary_step3_batch_yyy01.pl,f2,no,3
exp_acyclic_depvary_step3_batch_yyy01.pl,b2,yes,6
exp_acyclic_depvary_step3_batch_yyy01.pl,c2,no,5
exp_acyclic_depvary_step3_batch_yyy01.pl,e1,yes,5
exp_acyclic_depvary_step3_batch_yyy02.pl,e2,yes,31
exp_acyclic_depvary_step3_batch_yyy02.pl,b2,yes,3
exp_acyclic_depvary_step3_batch_yyy02.pl,d1,yes,4
exp_acyclic_depvary_step3_batch_yyy02.pl,y1,no,6
exp_acyclic_depvary_step3_batch_yyy02.pl,d2,yes,24
exp_acyclic_depvary_step3_batch_yyy03.pl,a1,yes,4
exp_acyclic_depvary_step3_batch_yyy03.pl,v1,yes,6
exp_acyclic_depvary_step3_batch_yyy03.pl,f2,no,3
exp_acyclic_depvary_step3_batch_yyy03.pl,d2,no,3
exp_acyclic_depvary_step3_batch_yyy04.pl,b2,no,7
exp_acyclic_depvary_step3_batch_yyy04.pl,c1,no,4
exp_acyclic_depvary_step3_batch_yyy04.pl,b1,yes,6
exp_acyclic_depvary_step3_batch_yyy04.pl,w1,no,2
exp_acyclic_depvary_step3_batch_yyy05.pl,e1,yes,5
exp_acyclic_depvary_step3_batch_yyy05.pl,t2,no,25
exp_acyclic_depvary_step3_batch_yyy05.pl,e2,yes,5
exp_acyclic_depvary_step3_batch_yyy05.pl,d2,yes,5
exp_acyclic_depvary_step3_batch_yyy05.pl,c1,no,19
exp_acyclic_depvary_step3_batch_yyy06.pl,e2,no,2
exp_acyclic_depvary_step3_batch_yyy06.pl,d2,no,6
exp_acyclic_depvary_step3_batch_yyy07.pl,u1,yes,17
exp_acyclic_depvary_step3_batch_yyy07.pl,b1,no,6
exp_acyclic_depvary_step3_batch_yyy07.pl,x1,no,17
exp_acyclic_depvary_step3_batch_yyy08.pl,a2,yes,3
exp_acyclic_depvary_step3_batch_yyy08.pl,v1,yes,3
exp_acyclic_depvary_step3_batch_yyy08.pl,u1,yes,3
exp_acyclic_depvary_step3_batch_yyy09.pl,e1,yes,14
exp_acyclic_depvary_step3_batch_yyy09.pl,f2,no,45
exp_acyclic_depvary_step3_batch_yyy10.pl,y1,no,29
exp_acyclic_depvary_step3_batch_yyy10.pl,v2,no,27
exp_acyclic_depvary_step3_batch_yyy10.pl,w2,yes,10
exp_acyclic_depvary_step4_batch_yyy01.pl,b2,no,15
exp_acyclic_depvary_step4_batch_yyy01.pl,f1,yes,13
exp_acyclic_depvary_step4_batch_yyy01.pl,w2,yes,13
exp_acyclic_depvary_step4_batch_yyy01.pl,q1,no,5
exp_acyclic_depvary_step4_batch_yyy02.pl,q1,yes,11
exp_acyclic_depvary_step4_batch_yyy02.pl,a3,no,11
exp_acyclic_depvary_step4_batch_yyy02.pl,d2,yes,10
exp_acyclic_depvary_step4_batch_yyy02.pl,b1,yes,6
exp_acyclic_depvary_step4_batch_yyy03.pl,c2,no,9
exp_acyclic_depvary_step4_batch_yyy03.pl,a2,yes,11
exp_acyclic_depvary_step4_batch_yyy03.pl,u1,yes,94
exp_acyclic_depvary_step4_batch_yyy03.pl,b1,no,11
exp_acyclic_depvary_step4_batch_yyy03.pl,e1,yes,12
exp_acyclic_depvary_step4_batch_yyy03.pl,p2,no,10
exp_acyclic_depvary_step4_batch_yyy03.pl,f2,no,9
exp_acyclic_depvary_step4_batch_yyy03.pl,d2,yes,10
exp_acyclic_depvary_step4_batch_yyy03.pl,f1,no,12
exp_acyclic_depvary_step4_batch_yyy03.pl,a3,no,7
exp_acyclic_depvary_step4_batch_yyy04.pl,d1,yes,68
exp_acyclic_depvary_step4_batch_yyy04.pl,x1,no,338
exp_acyclic_depvary_step4_batch_yyy05.pl,b3,yes,7
exp_acyclic_depvary_step4_batch_yyy05.pl,w1,yes,1
exp_acyclic_depvary_step4_batch_yyy06.pl,f2,no,8
exp_acyclic_depvary_step4_batch_yyy07.pl,b2,yes,32
exp_acyclic_depvary_step4_batch_yyy07.pl,a2,yes,11
exp_acyclic_depvary_step4_batch_yyy07.pl,f1,no,7
exp_acyclic_depvary_step4_batch_yyy07.pl,d1,no,6
exp_acyclic_depvary_step4_batch_yyy08.pl,c1,yes,11
exp_acyclic_depvary_step4_batch_yyy08.pl,c3,yes,17
exp_acyclic_depvary_step4_batch_yyy08.pl,a2,yes,10
exp_acyclic_depvary_step4_batch_yyy08.pl,q2,no,35
exp_acyclic_depvary_step4_batch_yyy09.pl,a2,no,10
exp_acyclic_depvary_step4_batch_yyy09.pl,b2,no,12
exp_acyclic_depvary_step4_batch_yyy10.pl,a2,no,15
exp_acyclic_depvary_step4_batch_yyy10.pl,f1,yes,15
exp_acyclic_depvary_step4_batch_yyy10.pl,b3,no,9
exp_acyclic_depvary_step5_batch_yyy01.pl,f3,no,106
exp_acyclic_depvary_step5_batch_yyy01.pl,b1,yes,9
exp_acyclic_depvary_step5_batch_yyy01.pl,a3,yes,18
exp_acyclic_depvary_step5_batch_yyy02.pl,b1,yes,118
exp_acyclic_depvary_step5_batch_yyy02.pl,b3,yes,31
exp_acyclic_depvary_step5_batch_yyy02.pl,s1,yes,15
exp_acyclic_depvary_step5_batch_yyy02.pl,d3,no,52
exp_acyclic_depvary_step5_batch_yyy03.pl,d1,no,681
exp_acyclic_depvary_step5_batch_yyy03.pl,r2,no,78
exp_acyclic_depvary_step5_batch_yyy03.pl,b1,no,34
exp_acyclic_depvary_step5_batch_yyy03.pl,a3,yes,40
exp_acyclic_depvary_step5_batch_yyy03.pl,r3,no,122
exp_acyclic_depvary_step5_batch_yyy03.pl,e3,yes,25
exp_acyclic_depvary_step5_batch_yyy04.pl,s3,yes,26
exp_acyclic_depvary_step5_batch_yyy04.pl,t1,no,140
exp_acyclic_depvary_step5_batch_yyy04.pl,q1,no,1166
exp_acyclic_depvary_step5_batch_yyy04.pl,c1,no,9
exp_acyclic_depvary_step5_batch_yyy04.pl,f2,yes,7
exp_acyclic_depvary_step5_batch_yyy04.pl,w1,no,355
exp_acyclic_depvary_step5_batch_yyy05.pl,v2,no,30
exp_acyclic_depvary_step5_batch_yyy05.pl,b3,no,13
exp_acyclic_depvary_step5_batch_yyy05.pl,a1,no,20
exp_acyclic_depvary_step5_batch_yyy05.pl,d1,yes,66
exp_acyclic_depvary_step5_batch_yyy05.pl,z1,no,116
exp_acyclic_depvary_step5_batch_yyy05.pl,e3,no,46
exp_acyclic_depvary_step5_batch_yyy06.pl,c2,no,14
exp_acyclic_depvary_step5_batch_yyy06.pl,f3,no,9
exp_acyclic_depvary_step5_batch_yyy06.pl,d2,no,6
exp_acyclic_depvary_step5_batch_yyy06.pl,f2,yes,13
exp_acyclic_depvary_step5_batch_yyy06.pl,b2,no,7
exp_acyclic_depvary_step5_batch_yyy07.pl,b2,no,20
exp_acyclic_depvary_step5_batch_yyy07.pl,c2,no,24
exp_acyclic_depvary_step5_batch_yyy07.pl,c3,yes,17
exp_acyclic_depvary_step5_batch_yyy08.pl,b3,no,12
exp_acyclic_depvary_step5_batch_yyy08.pl,z2,yes,25
exp_acyclic_depvary_step5_batch_yyy08.pl,a3,no,25
exp_acyclic_depvary_step5_batch_yyy08.pl,b1,yes,18
exp_acyclic_depvary_step5_batch_yyy09.pl,c3,yes,11
exp_acyclic_depvary_step5_batch_yyy09.pl,x2,yes,6
exp_acyclic_depvary_step5_batch_yyy09.pl,a1,yes,18
exp_acyclic_depvary_step5_batch_yyy09.pl,c1,no,14
exp_acyclic_depvary_step5_batch_yyy09.pl,f2,yes,36
exp_acyclic_depvary_step5_batch_yyy09.pl,b3,no,29
exp_acyclic_depvary_step5_batch_yyy09.pl,e1,yes,11
exp_acyclic_depvary_step5_batch_yyy09.pl,f3,yes,13
exp_acyclic_depvary_step5_batch_yyy10.pl,d3,no,15
exp_acyclic_depvary_step5_batch_yyy10.pl,d1,no,16
exp_acyclic_depvary_step5_batch_yyy10.pl,x2,no,279
exp_acyclic_depvary_step5_batch_yyy10.pl,a3,no,8
exp_acyclic_depvary_step5_batch_yyy10.pl,f1,yes,11
exp_acyclic_depvary_step5_batch_yyy10.pl,a1,no,13
exp_acyclic_depvary_step5_batch_yyy10.pl,z2,no,77
exp_acyclic_depvary_step5_batch_yyy10.pl,b1,yes,33
exp_acyclic_depvary_step6_batch_yyy01.pl,c1,no,1099
exp_acyclic_depvary_step6_batch_yyy01.pl,c3,no,1463
exp_acyclic_depvary_step6_batch_yyy01.pl,s1,no,1754
exp_acyclic_depvary_step6_batch_yyy01.pl,d3,yes,22
exp_acyclic_depvary_step6_batch_yyy01.pl,d2,yes,44
exp_acyclic_depvary_step6_batch_yyy01.pl,b2,yes,75
exp_acyclic_depvary_step6_batch_yyy02.pl,p1,no,190
exp_acyclic_depvary_step6_batch_yyy02.pl,c4,no,62
exp_acyclic_depvary_step6_batch_yyy02.pl,d1,yes,28
exp_acyclic_depvary_step6_batch_yyy02.pl,f1,yes,15
exp_acyclic_depvary_step6_batch_yyy02.pl,e2,no,208
exp_acyclic_depvary_step6_batch_yyy03.pl,b4,no,20
exp_acyclic_depvary_step6_batch_yyy03.pl,z3,yes,7
exp_acyclic_depvary_step6_batch_yyy03.pl,t2,yes,7
exp_acyclic_depvary_step6_batch_yyy03.pl,d2,yes,24
exp_acyclic_depvary_step6_batch_yyy03.pl,x1,yes,12
exp_acyclic_depvary_step6_batch_yyy03.pl,c1,yes,26
