instance,goal,verdict,duration
exp_acyclic_depvary_step4_batch_yyy03.pl,b2,yes,6
exp_acyclic_depvary_step4_batch_yyy04.pl,p2,no,55
exp_acyclic_depvary_step4_batch_yyy05.pl,x1,yes,184
exp_acyclic_depvary_step4_batch_yyy05.pl,b3,yes,2
exp_acyclic_depvary_step4_batch_yyy05.pl,a2,yes,4
exp_acyclic_depvary_step4_batch_yyy06.pl,d1,no,1
exp_acyclic_depvary_step4_batch_yyy07.pl,e1,no,1
exp_acyclic_depvary_step4_batch_yyy07.pl,b3,yes,0
exp_acyclic_depvary_step4_batch_yyy08.pl,q2,no,5
exp_acyclic_depvary_step4_batch_yyy09.pl,d2,yes,4
exp_acyclic_depvary_step4_batch_yyy10.pl,a1,yes,4
exp_acyclic_depvary_step4_batch_yyy10.pl,d1,yes,35
exp_acyclic_depvary_step5_batch_yyy01.pl,b3,yes,19
exp_acyclic_depvary_step5_batch_yyy01.pl,c3,yes,21
exp_acyclic_depvary_step5_batch_yyy02.pl,e2,no,111
exp_acyclic_depvary_step5_batch_yyy03.pl,c2,no,158
exp_acyclic_depvary_step5_batch_yyy03.pl,e3,yes,6
exp_acyclic_depvary_step5_batch_yyy03.pl,b2,yes,79
exp_acyclic_depvary_step5_batch_yyy04.pl,f1,yes,354
exp_acyclic_depvary_step5_batch_yyy04.pl,z2,no,8428
exp_acyclic_depvary_step5_batch_yyy04.pl,t1,no,1134
exp_acyclic_depvary_step5_batch_yyy05.pl,e2,yes,0
exp_acyclic_depvary_step5_batch_yyy05.pl,d1,yes,12
exp_acyclic_depvary_step5_batch_yyy05.pl,r3,no,17
exp_acyclic_depvary_step5_batch_yyy06.pl,c2,no,9
exp_acyclic_depvary_step5_batch_yyy07.pl,s1,yes,7
exp_acyclic_depvary_step5_batch_yyy07.pl,b2,no,13
exp_acyclic_depvary_step5_batch_yyy08.pl,b2,no,0
exp_acyclic_depvary_step5_batch_yyy09.pl,b3,no,2
exp_acyclic_depvary_step5_batch_yyy09.pl,e2,no,1
exp_acyclic_depvary_step5_batch_yyy10.pl,a2,no,1
exp_acyclic_depvary_step5_batch_yyy10.pl,q1,yes,7
exp_acyclic_depvary_step5_batch_yyy10.pl,p2,no,22
exp_acyclic_depvary_step5_batch_yyy10.pl,e1,no,2
exp_acyclic_depvary_step6_batch_yyy01.pl,f1,yes,26
exp_acyclic_depvary_step6_batch_yyy01.pl,a2,no,1
exp_acyclic_depvary_step6_batch_yyy01.pl,b1,no,1
exp_acyclic_depvary_step6_batch_yyy01.pl,r1,yes,43
exp_acyclic_depvary_step6_batch_yyy02.pl,v2,yes,65
exp_acyclic_depvary_step6_batch_yyy02.pl,e2,no,261
exp_acyclic_depvary_step6_batch_yyy02.pl,c4,no,1
exp_acyclic_depvary_step6_batch_yyy02.pl,a3,yes,51
exp_acyclic_depvary_step6_batch_yyy02.pl,f2,no,195
exp_acyclic_depvary_step6_batch_yyy03.pl,x1,yes,12
exp_acyclic_depvary_step6_batch_yyy03.pl,q2,yes,12
exp_acyclic_depvary_step6_batch_yyy03.pl,b1,no,1
exp_acyclic_depvary_step6_batch_yyy03.pl,b3,yes,0
exp_acyclic_depvary_step6_batch_yyy03.pl,c1,yes,15
exp_acyclic_depvary_step6_batch_yyy03.pl,f3,no,1
exp_acyclic_depvary_step6_batch_yyy04.pl,a3,yes,0
exp_acyclic_depvary_step6_batch_yyy04.pl,c1,no,1
exp_acyclic_depvary_step6_batch_yyy05.pl,e1,yes,0
exp_acyclic_depvary_step6_batch_yyy05.pl,r1,yes,12
exp_acyclic_depvary_step6_batch_yyy05.pl,r3,no,13
exp_acyclic_depvary_step6_batch_yyy06.pl,b3,yes,15
exp_acyclic_depvary_step6_batch_yyy06.pl,c3,yes,34
exp_acyclic_depvary_step6_batch_yyy06.pl,b2,no,1
exp_acyclic_depvary_step6_batch_yyy06.pl,b1,yes,0
exp_acyclic_depvary_step6_batch_yyy06.pl,d1,no,71
exp_acyclic_depvary_step6_batch_yyy07.pl,c2,yes,12
exp_acyclic_depvary_step6_batch_yyy07.pl,s2,no,741
exp_acyclic_depvary_step6_batch_yyy08.pl,a1,no,37
exp_acyclic_depvary_step6_batch_yyy09.pl,a1,yes,11
exp_acyclic_depvary_step6_batch_yyy09.pl,c2,no,1
exp_acyclic_depvary_step6_batch_yyy09.pl,e1,no,18
exp_acyclic_depvary_step6_batch_yyy09.pl,t3,no,287
exp_acyclic_depvary_step6_batch_yyy10.pl,b1,no,57
exp_acyclic_depvary_step7_batch_yyy01.pl,f3,no,2
exp_acyclic_depvary_step7_batch_yyy01.pl,b4,yes,58
exp_acyclic_depvary_step7_batch_yyy01.pl,d4,yes,20
exp_acyclic_depvary_step7_batch_yyy01.pl,v3,no,3825
exp_acyclic_depvary_step7_batch_yyy02.pl,e3,yes,11
exp_acyclic_depvary_step7_batch_yyy02.pl,d4,yes,10
exp_acyclic_depvary_step7_batch_yyy02.pl,c2,no,3
exp_acyclic_depvary_step7_batch_yyy02.pl,a1,no,2
exp_acyclic_depvary_step7_batch_yyy03.pl,r4,no,6
exp_acyclic_depvary_step7_batch_yyy03.pl,c2,yes,46
exp_acyclic_depvary_step7_batch_yyy03.pl,d4,yes,10
exp_acyclic_depvary_step7_batch_yyy04.pl,e4,no,4552
exp_acyclic_depvary_step7_batch_yyy04.pl,f2,yes,20357
exp_acyclic_depvary_step7_batch_yyy04.pl,b1,yes,14234
exp_acyclic_depvary_step7_batch_yyy05.pl,f2,no,4
exp_acyclic_depvary_step7_batch_yyy05.pl,a3,yes,7
exp_acyclic_depvary_step7_batch_yyy05.pl,b4,yes,13
exp_acyclic_depvary_step7_batch_yyy05.pl,f4,yes,5
exp_acyclic_depvary_step7_batch_yyy06.pl,f2,no,1
exp_acyclic_depvary_step7_batch_yyy06.pl,c1,yes,0
exp_acyclic_depvary_step7_batch_yyy06.pl,a1,no,2
exp_acyclic_depvary_step7_batch_yyy06.pl,d1,yes,31
exp_acyclic_depvary_step7_batch_yyy07.pl,b1,no,63
exp_acyclic_depvary_step7_batch_yyy07.pl,c2,no,392
exp_acyclic_depvary_step7_batch_yyy07.pl,d2,no,3
exp_acyclic_depvary_step7_batch_yyy07.pl,q1,yes,12
exp_acyclic_depvary_step7_batch_yyy08.pl,d3,yes,27
exp_acyclic_depvary_step7_batch_yyy08.pl,e3,no,24
exp_acyclic_depvary_step7_batch_yyy08.pl,a4,no,2
exp_acyclic_depvary_step7_batch_yyy08.pl,f2,yes,222
exp_acyclic_depvary_step7_batch_yyy08.pl,f1,yes,0
exp_acyclic_depvary_step7_batch_yyy09.pl,e3,yes,27
exp_acyclic_depvary_step7_batch_yyy09.pl,b4,yes,279
exp_acyclic_depvary_step7_batch_yyy09.pl,e2,no,875
exp_acyclic_depvary_step7_batch_yyy09.pl,d1,yes,10
exp_acyclic_depvary_step7_batch_yyy09.pl,c1,yes,285
exp_acyclic_depvary_step7_batch_yyy09.pl,e1,no,3
exp_acyclic_depvary_step7_batch_yyy10.pl,a4,yes,0
exp_acyclic_depvary_step7_batch_yyy10.pl,d2,no,2
exp_acyclic_depvary_step7_batch_yyy10.pl,q3,no,14
exp_acyclic_depvary_step8_batch_yyy01.pl,d4,no,84
exp_acyclic_depvary_step8_batch_yyy01.pl,c3,no,24
exp_acyclic_depvary_step8_batch_yyy01.pl,z1,yes,4
exp_acyclic_depvary_step8_batch_yyy01.pl,d3,yes,4
exp_acyclic_depvary_step8_batch_yyy01.pl,e2,no,349
exp_acyclic_depvary_step8_batch_yyy02.pl,a2,yes,129
exp_acyclic_depvary_step8_batch_yyy02.pl,d1,yes,104
exp_acyclic_depvary_step8_batch_yyy02.pl,f1,yes,225
exp_acyclic_depvary_step8_batch_yyy02.pl,b5,yes,0
exp_acyclic_depvary_step8_batch_yyy03.pl,f1,no,23
exp_acyclic_depvary_step8_batch_yyy03.pl,c3,no,1
exp_acyclic_depvary_step8_batch_yyy03.pl,y4,yes,5
exp_acyclic_depvary_step8_batch_yyy04.pl,b3,yes,18
exp_acyclic_depvary_step8_batch_yyy04.pl,b1,yes,16
exp_acyclic_depvary_step8_batch_yyy04.pl,u2,no,3385
exp_acyclic_depvary_step8_batch_yyy04.pl,e2,no,1
exp_acyclic_depvary_step8_batch_yyy04.pl,w3,no,4162
exp_acyclic_depvary_step8_batch_yyy04.pl,d1,no,22
exp_acyclic_depvary_step8_batch_yyy04.pl,c4,no,1669
exp_acyclic_depvary_step8_batch_yyy05.pl,c1,yes,0
exp_acyclic_depvary_step8_batch_yyy05.pl,a5,no,4055
exp_acyclic_depvary_step8_batch_yyy05.pl,f3,yes,23
