instance,goal,verdict,duration
exp_acyclic_depvary_step4_batch_yyy03.pl,b2,yes,4
exp_acyclic_depvary_step4_batch_yyy04.pl,p2,no,89
exp_acyclic_depvary_step4_batch_yyy05.pl,x1,yes,45
exp_acyclic_depvary_step4_batch_yyy05.pl,b3,yes,3
exp_acyclic_depvary_step4_batch_yyy05.pl,a2,yes,4
exp_acyclic_depvary_step4_batch_yyy06.pl,d1,no,3
exp_acyclic_depvary_step4_batch_yyy07.pl,e1,no,4
exp_acyclic_depvary_step4_batch_yyy07.pl,b3,yes,0
exp_acyclic_depvary_step4_batch_yyy08.pl,q2,no,8
exp_acyclic_depvary_step4_batch_yyy09.pl,d2,yes,6
exp_acyclic_depvary_step4_batch_yyy10.pl,a1,yes,6
exp_acyclic_depvary_step4_batch_yyy10.pl,d1,yes,26
exp_acyclic_depvary_step5_batch_yyy01.pl,b3,yes,10
exp_acyclic_depvary_step5_batch_yyy01.pl,c3,yes,13
exp_acyclic_depvary_step5_batch_yyy02.pl,e2,no,63
exp_acyclic_depvary_step5_batch_yyy03.pl,c2,no,236
exp_acyclic_depvary_step5_batch_yyy03.pl,e3,yes,17
exp_acyclic_depvary_step5_batch_yyy03.pl,b2,yes,20
exp_acyclic_depvary_step5_batch_yyy04.pl,f1,yes,4444
exp_acyclic_depvary_step5_batch_yyy04.pl,z2,no,676
exp_acyclic_depvary_step5_batch_yyy04.pl,t1,no,132
exp_acyclic_depvary_step5_batch_yyy05.pl,e2,yes,0
exp_acyclic_depvary_step5_batch_yyy05.pl,d1,yes,9
exp_acyclic_depvary_step5_batch_yyy05.pl,r3,no,28
exp_acyclic_depvary_step5_batch_yyy06.pl,c2,no,9
exp_acyclic_depvary_step5_batch_yyy07.pl,s1,yes,8
exp_acyclic_depvary_step5_batch_yyy07.pl,b2,no,11
exp_acyclic_depvary_step5_batch_yyy08.pl,b2,no,7
exp_acyclic_depvary_step5_batch_yyy09.pl,b3,no,2
exp_acyclic_depvary_step5_batch_yyy09.pl,e2,no,5
exp_acyclic_depvary_step5_batch_yyy10.pl,a2,no,5
exp_acyclic_depvary_step5_batch_yyy10.pl,q1,yes,12
exp_acyclic_depvary_step5_batch_yyy10.pl,p2,no,14
exp_acyclic_depvary_step5_batch_yyy10.pl,e1,no,3
exp_acyclic_depvary_step6_batch_yyy01.pl,f1,yes,23
exp_acyclic_depvary_step6_batch_yyy01.pl,a2,no,1
exp_acyclic_depvary_step6_batch_yyy01.pl,b1,no,6
exp_acyclic_depvary_step6_batch_yyy01.pl,r1,yes,2467
exp_acyclic_depvary_step6_batch_yyy02.pl,v2,yes,68
exp_acyclic_depvary_step6_batch_yyy02.pl,e2,no,196
exp_acyclic_depvary_step6_batch_yyy02.pl,c4,no,7
exp_acyclic_depvary_step6_batch_yyy02.pl,a3,yes,17
exp_acyclic_depvary_step6_batch_yyy02.pl,f2,no,184
exp_acyclic_depvary_step6_batch_yyy03.pl,x1,yes,953
exp_acyclic_depvary_step6_batch_yyy03.pl,q2,yes,8
exp_acyclic_depvary_step6_batch_yyy03.pl,b1,no,7
exp_acyclic_depvary_step6_batch_yyy03.pl,b3,yes,0
exp_acyclic_depvary_step6_batch_yyy03.pl,c1,yes,17
exp_acyclic_depvary_step6_batch_yyy03.pl,f3,no,8
exp_acyclic_depvary_step6_batch_yyy04.pl,a3,yes,0
exp_acyclic_depvary_step6_batch_yyy04.pl,c1,no,7
exp_acyclic_depvary_step6_batch_yyy05.pl,e1,yes,0
exp_acyclic_depvary_step6_batch_yyy05.pl,r1,yes,43
exp_acyclic_depvary_step6_batch_yyy05.pl,r3,no,15
exp_acyclic_depvary_step6_batch_yyy06.pl,b3,yes,14
exp_acyclic_depvary_step6_batch_yyy06.pl,c3,yes,34
exp_acyclic_depvary_step6_batch_yyy06.pl,b2,no,2
exp_acyclic_depvary_step6_batch_yyy06.pl,b1,yes,0
exp_acyclic_depvary_step6_batch_yyy06.pl,d1,no,89
exp_acyclic_depvary_step6_batch_yyy07.pl,c2,yes,23
exp_acyclic_depvary_step6_batch_yyy07.pl,s2,no,959
exp_acyclic_depvary_step6_batch_yyy08.pl,a1,no,26
exp_acyclic_depvary_step6_batch_yyy09.pl,a1,yes,10
exp_acyclic_depvary_step6_batch_yyy09.pl,c2,no,6
exp_acyclic_depvary_step6_batch_yyy09.pl,e1,no,6
exp_acyclic_depvary_step6_batch_yyy09.pl,t3,no,123
exp_acyclic_depvary_step6_batch_yyy10.pl,b1,no,10
exp_acyclic_depvary_step7_batch_yyy01.pl,f3,no,12
exp_acyclic_depvary_step7_batch_yyy01.pl,b4,yes,231
exp_acyclic_depvary_step7_batch_yyy01.pl,d4,yes,16
exp_acyclic_depvary_step7_batch_yyy01.pl,v3,no,778
exp_acyclic_depvary_step7_batch_yyy02.pl,e3,yes,15
exp_acyclic_depvary_step7_batch_yyy02.pl,d4,yes,14
exp_acyclic_depvary_step7_batch_yyy02.pl,c2,no,13
exp_acyclic_depvary_step7_batch_yyy02.pl,a1,no,13
exp_acyclic_depvary_step7_batch_yyy03.pl,r4,no,5
exp_acyclic_depvary_step7_batch_yyy03.pl,c2,yes,21
exp_acyclic_depvary_step7_batch_yyy03.pl,d4,yes,11
exp_acyclic_depvary_step7_batch_yyy04.pl,e4,no,216
exp_acyclic_depvary_step7_batch_yyy04.pl,f2,yes,1277
exp_acyclic_depvary_step7_batch_yyy04.pl,b1,yes,225
exp_acyclic_depvary_step7_batch_yyy05.pl,f2,no,10
exp_acyclic_depvary_step7_batch_yyy05.pl,a3,yes,4
exp_acyclic_depvary_step7_batch_yyy05.pl,b4,yes,20
exp_acyclic_depvary_step7_batch_yyy05.pl,f4,yes,9
exp_acyclic_depvary_step7_batch_yyy06.pl,f2,no,2
exp_acyclic_depvary_step7_batch_yyy06.pl,c1,yes,0
exp_acyclic_depvary_step7_batch_yyy06.pl,a1,no,12
exp_acyclic_depvary_step7_batch_yyy06.pl,d1,yes,24
exp_acyclic_depvary_step7_batch_yyy07.pl,b1,no,6
exp_acyclic_depvary_step7_batch_yyy07.pl,c2,no,12
exp_acyclic_depvary_step7_batch_yyy07.pl,d2,no,2
exp_acyclic_depvary_step7_batch_yyy07.pl,q1,yes,8
exp_acyclic_depvary_step7_batch_yyy08.pl,d3,yes,28
exp_acyclic_depvary_step7_batch_yyy08.pl,e3,no,16
