goal,instance,verdict,duration
p2,exp_acyclic_depvary_step4_batch_yyy04.pl,no,4
x1,exp_acyclic_depvary_step4_batch_yyy05.pl,yes,4
b3,exp_acyclic_depvary_step4_batch_yyy05.pl,yes,4
a2,exp_acyclic_depvary_step4_batch_yyy05.pl,yes,4
d1,exp_acyclic_depvary_step4_batch_yyy06.pl,no,3
e1,exp_acyclic_depvary_step4_batch_yyy07.pl,no,4
b3,exp_acyclic_depvary_step4_batch_yyy07.pl,yes,4
q2,exp_acyclic_depvary_step4_batch_yyy08.pl,no,4
d2,exp_acyclic_depvary_step4_batch_yyy09.pl,yes,4
a1,exp_acyclic_depvary_step4_batch_yyy10.pl,yes,4
d1,exp_acyclic_depvary_step4_batch_yyy10.pl,yes,6
b3,exp_acyclic_depvary_step5_batch_yyy01.pl,yes,6
c3,exp_acyclic_depvary_step5_batch_yyy01.pl,yes,6
e2,exp_acyclic_depvary_step5_batch_yyy02.pl,no,5
c2,exp_acyclic_depvary_step5_batch_yyy03.pl,no,5
e3,exp_acyclic_depvary_step5_batch_yyy03.pl,yes,5
b2,exp_acyclic_depvary_step5_batch_yyy03.pl,yes,5
f1,exp_acyclic_depvary_step5_batch_yyy04.pl,yes,5
z2,exp_acyclic_depvary_step5_batch_yyy04.pl,no,5
t1,exp_acyclic_depvary_step5_batch_yyy04.pl,no,5
e2,exp_acyclic_depvary_step5_batch_yyy05.pl,yes,6
d1,exp_acyclic_depvary_step5_batch_yyy05.pl,yes,5
r3,exp_acyclic_depvary_step5_batch_yyy05.pl,no,6
c2,exp_acyclic_depvary_step5_batch_yyy06.pl,no,7
s1,exp_acyclic_depvary_step5_batch_yyy07.pl,yes,5
b2,exp_acyclic_depvary_step5_batch_yyy07.pl,no,5
b2,exp_acyclic_depvary_step5_batch_yyy08.pl,no,5
b3,exp_acyclic_depvary_step5_batch_yyy09.pl,no,6
e2,exp_acyclic_depvary_step5_batch_yyy09.pl,no,6
a2,exp_acyclic_depvary_step5_batch_yyy10.pl,no,6
q1,exp_acyclic_depvary_step5_batch_yyy10.pl,yes,6
p2,exp_acyclic_depvary_step5_batch_yyy10.pl,no,5
e1,exp_acyclic_depvary_step5_batch_yyy10.pl,no,5
f1,exp_acyclic_depvary_step6_batch_yyy01.pl,yes,7
a2,exp_acyclic_depvary_step6_batch_yyy01.pl,no,7
b1,exp_acyclic_depvary_step6_batch_yyy01.pl,no,7
r1,exp_acyclic_depvary_step6_batch_yyy01.pl,yes,7
v2,exp_acyclic_depvary_step6_batch_yyy02.pl,yes,6
e2,exp_acyclic_depvary_step6_batch_yyy02.pl,no,6
c4,exp_acyclic_depvary_step6_batch_yyy02.pl,no,6
a3,exp_acyclic_depvary_step6_batch_yyy02.pl,yes,6
f2,exp_acyclic_depvary_step6_batch_yyy02.pl,no,6
x1,exp_acyclic_depvary_step6_batch_yyy03.pl,yes,6
q2,exp_acyclic_depvary_step6_batch_yyy03.pl,yes,6
b1,exp_acyclic_depvary_step6_batch_yyy03.pl,no,6
b3,exp_acyclic_depvary_step6_batch_yyy03.pl,yes,6
c1,exp_acyclic_depvary_step6_batch_yyy03.pl,yes,8
f3,exp_acyclic_depvary_step6_batch_yyy03.pl,no,6
a3,exp_acyclic_depvary_step6_batch_yyy04.pl,yes,7
c1,exp_acyclic_depvary_step6_batch_yyy04.pl,no,7
e1,exp_acyclic_depvary_step6_batch_yyy05.pl,yes,9
r1,exp_acyclic_depvary_step6_batch_yyy05.pl,yes,8
r3,exp_acyclic_depvary_step6_batch_yyy05.pl,no,8
b3,exp_acyclic_depvary_step6_batch_yyy06.pl,yes,7
c3,exp_acyclic_depvary_step6_batch_yyy06.pl,yes,7
b2,exp_acyclic_depvary_step6_batch_yyy06.pl,no,7
b1,exp_acyclic_depvary_step6_batch_yyy06.pl,yes,7
d1,exp_acyclic_depvary_step6_batch_yyy06.pl,no,7
c2,exp_acyclic_depvary_step6_batch_yyy07.pl,yes,6
s2,exp_acyclic_depvary_step6_batch_yyy07.pl,no,6
a1,exp_acyclic_depvary_step6_batch_yyy08.pl,no,7
a1,exp_acyclic_depvary_step6_batch_yyy09.pl,yes,7
c2,exp_acyclic_depvary_step6_batch_yyy09.pl,no,6
e1,exp_acyclic_depvary_step6_batch_yyy09.pl,no,6
t3,exp_acyclic_depvary_step6_batch_yyy09.pl,no,6
b1,exp_acyclic_depvary_step6_batch_yyy10.pl,no,7
f3,exp_acyclic_depvary_step7_batch_yyy01.pl,no,8
b4,exp_acyclic_depvary_step7_batch_yyy01.pl,yes,8
d4,exp_acyclic_depvary_step7_batch_yyy01.pl,yes,8
v3,exp_acyclic_depvary_step7_batch_yyy01.pl,no,8
e3,exp_acyclic_depvary_step7_batch_yyy02.pl,yes,8
d4,exp_acyclic_depvary_step7_batch_yyy02.pl,yes,8
c2,exp_acyclic_depvary_step7_batch_yyy02.pl,no,8
a1,exp_acyclic_depvary_step7_batch_yyy02.pl,no,8
r4,exp_acyclic_depvary_step7_batch_yyy03.pl,no,9
c2,exp_acyclic_depvary_step7_batch_yyy03.pl,yes,9
d4,exp_acyclic_depvary_step7_batch_yyy03.pl,yes,10
e4,exp_acyclic_depvary_step7_batch_yyy04.pl,no,7
f2,exp_acyclic_depvary_step7_batch_yyy04.pl,yes,7
b1,exp_acyclic_depvary_step7_batch_yyy04.pl,yes,7
f2,exp_acyclic_depvary_step7_batch_yyy05.pl,no,9
a3,exp_acyclic_depvary_step7_batch_yyy05.pl,yes,9
b4,exp_acyclic_depvary_step7_batch_yyy05.pl,yes,9
f4,exp_acyclic_depvary_step7_batch_yyy05.pl,yes,9
f2,exp_acyclic_depvary_step7_batch_yyy06.pl,no,9
c1,exp_acyclic_depvary_step7_batch_yyy06.pl,yes,9
a1,exp_acyclic_depvary_step7_batch_yyy06.pl,no,9
d1,exp_acyclic_depvary_step7_batch_yyy06.pl,yes,15
b1,exp_acyclic_depvary_step7_batch_yyy07.pl,no,16
c2,exp_acyclic_depvary_step7_batch_yyy07.pl,no,11
d2,exp_acyclic_depvary_step7_batch_yyy07.pl,no,13
q1,exp_acyclic_depvary_step7_batch_yyy07.pl,yes,10
d3,exp_acyclic_depvary_step7_batch_yyy08.pl,yes,15
e3,exp_acyclic_depvary_step7_batch_yyy08.pl,no,10
a4,exp_acyclic_depvary_step7_batch_yyy08.pl,no,10
f2,exp_acyclic_depvary_step7_batch_yyy08.pl,yes,10
f1,exp_acyclic_depvary_step7_batch_yyy08.pl,yes,10
e3,exp_acyclic_depvary_step7_batch_yyy09.pl,yes,11
b4,exp_acyclic_depvary_step7_batch_yyy09.pl,yes,11
e2,exp_acyclic_depvary_step7_batch_yyy09.pl,no,11
d1,exp_acyclic_depvary_step7_batch_yyy09.pl,yes,11
c1,exp_acyclic_depvary_step7_batch_yyy09.pl,yes,10
e1,exp_acyclic_depvary_step7_batch_yyy09.pl,no,10
a4,exp_acyclic_depvary_step7_batch_yyy10.pl,yes,8
d2,exp_acyclic_depvary_step7_batch_yyy10.pl,no,8
q3,exp_acyclic_depvary_step7_batch_yyy10.pl,no,8
d4,exp_acyclic_depvary_step8_batch_yyy01.pl,no,11
c3,exp_acyclic_depvary_step8_batch_yyy01.pl,no,11
z1,exp_acyclic_depvary_step8_batch_yyy01.pl,yes,11
d3,exp_acyclic_depvary_step8_batch_yyy01.pl,yes,11
e2,exp_acyclic_depvary_step8_batch_yyy01.pl,no,11
a2,exp_acyclic_depvary_step8_batch_yyy02.pl,yes,10
d1,exp_acyclic_depvary_step8_batch_yyy02.pl,yes,10
f1,exp_acyclic_depvary_step8_batch_yyy02.pl,yes,10
b5,exp_acyclic_depvary_step8_batch_yyy02.pl,yes,10
f1,exp_acyclic_depvary_step8_batch_yyy03.pl,no,11
c3,exp_acyclic_depvary_step8_batch_yyy03.pl,no,11
y4,exp_acyclic_depvary_step8_batch_yyy03.pl,yes,11
b3,exp_acyclic_depvary_step8_batch_yyy04.pl,yes,12
b1,exp_acyclic_depvary_step8_batch_yyy04.pl,yes,12
u2,exp_acyclic_depvary_step8_batch_yyy04.pl,no,12
e2,exp_acyclic_depvary_step8_batch_yyy04.pl,no,12
w3,exp_acyclic_depvary_step8_batch_yyy04.pl,no,12
d1,exp_acyclic_depvary_step8_batch_yyy04.pl,no,12
c4,exp_acyclic_depvary_step8_batch_yyy04.pl,no,11
c1,exp_acyclic_depvary_step8_batch_yyy05.pl,yes,11
a5,exp_acyclic_depvary_step8_batch_yyy05.pl,no,11
f3,exp_acyclic_depvary_step8_batch_yyy05.pl,yes,11
a3,exp_acyclic_depvary_step8_batch_yyy05.pl,yes,11
a4,exp_acyclic_depvary_step8_batch_yyy06.pl,no,13
c2,exp_acyclic_depvary_step8_batch_yyy06.pl,no,12
c4,exp_acyclic_depvary_step8_batch_yyy06.pl,yes,12
a5,exp_acyclic_depvary_step8_batch_yyy06.pl,no,12
