instance,goal,verdict,duration
exp_acyclic_depvary_step5_batch_yyy09.pl,b3,timeout,120000
exp_acyclic_depvary_step5_batch_yyy09.pl,e2,timeout,120000
exp_acyclic_depvary_step5_batch_yyy10.pl,a2,no,22013
exp_acyclic_depvary_step5_batch_yyy10.pl,q1,yes,28494
exp_acyclic_depvary_step5_batch_yyy10.pl,p2,no,605
exp_acyclic_depvary_step5_batch_yyy10.pl,e1,no,16344
exp_acyclic_depvary_step6_batch_yyy01.pl,f1,yes,103462
exp_acyclic_depvary_step6_batch_yyy01.pl,a2,timeout,120000
exp_acyclic_depvary_step6_batch_yyy01.pl,b1,no,0
exp_acyclic_depvary_step6_batch_yyy01.pl,r1,yes,78698
exp_acyclic_depvary_step6_batch_yyy02.pl,v2,yes,48265
exp_acyclic_depvary_step6_batch_yyy02.pl,e2,timeout,120000
exp_acyclic_depvary_step6_batch_yyy02.pl,c4,timeout,120000
exp_acyclic_depvary_step6_batch_yyy02.pl,a3,timeout,120000
exp_acyclic_depvary_step6_batch_yyy02.pl,f2,timeout,120000
exp_acyclic_depvary_step6_batch_yyy03.pl,x1,timeout,120000
exp_acyclic_depvary_step6_batch_yyy03.pl,q2,yes,79323
exp_acyclic_depvary_step6_batch_yyy03.pl,b1,no,16915
exp_acyclic_depvary_step6_batch_yyy03.pl,b3,yes,0
exp_acyclic_depvary_step6_batch_yyy03.pl,c1,yes,2
exp_acyclic_depvary_step6_batch_yyy03.pl,f3,no,15
exp_acyclic_depvary_step6_batch_yyy04.pl,a3,yes,0
exp_acyclic_depvary_step6_batch_yyy04.pl,c1,no,1
exp_acyclic_depvary_step6_batch_yyy05.pl,e1,yes,0
exp_acyclic_depvary_step6_batch_yyy05.pl,r1,timeout,120000
exp_acyclic_depvary_step6_batch_yyy05.pl,r3,timeout,120000
exp_acyclic_depvary_step6_batch_yyy06.pl,b3,yes,2
exp_acyclic_depvary_step6_batch_yyy06.pl,c3,yes,95
exp_acyclic_depvary_step6_batch_yyy06.pl,b2,no,9152
exp_acyclic_depvary_step6_batch_yyy06.pl,b1,yes,0
