,verdict,instance,goal,Defences,Culprits,PRules,ORules,PStatements,OStatements,DefencesFound,Moves,Duration
60,yes,exp_cycles_depvary_step7_batch_yyy07.pl,r2,0,7,13,0,13,0,1,13,1.1036007404327393
61,no,exp_acyclic_indvary3_step5_batch_yyy05.pl,r1,,,,,,,,,1.0277397632598877
62,no,exp_acyclic_indvary1_step3_batch_yyy03.pl,t5,,,,,,,,,0.9728438854217529
63,no,exp_acyclic_depvary_step9_batch_yyy03.pl,s4,,,,,,,,,1.0228259563446045
64,no,exp_acyclic_indvary3_step6_batch_yyy06.pl,f3,,,,,,,,,0.9826416969299316
65,yes,exp_acyclic_depvary_step10_batch_yyy04.pl,w1,0,2,8,0,8,0,1,8,1.138779640197754
66,no,exp_cycles_indvary1_step7_batch_yyy09.pl,e5,,,,,,,,,0.986936092376709
67,no,exp_cycles_indvary1_step6_batch_yyy09.pl,c2,,,,,,,,,1.0223181247711182
68,no,exp_cycles_indvary2_step4_batch_yyy01.pl,a2,,,,,,,,,1.1547131538391113
69,no,exp_cycles_indvary1_step2_batch_yyy06.pl,e5,,,,,,,,,0.9885349273681641
70,no,exp_cycles_depvary_step2_batch_yyy03.pl,v6,,,,,,,,,0.9390485286712646
71,no,exp_acyclic_indvary3_step3_batch_yyy10.pl,q5,,,,,,,,,0.9491932392120361
72,no,exp_cycles_indvary3_step7_batch_yyy06.pl,u5,,,,,,,,,0.9765441417694092
73,no,exp_acyclic_indvary3_step7_batch_yyy06.pl,z1,,,,,,,,,0.9786796569824219
74,no,exp_acyclic_depvary_step3_batch_yyy04.pl,r3,,,,,,,,,0.9553573131561279
75,yes,exp_acyclic_indvary2_step2_batch_yyy07.pl,t1,0,2,4,0,4,0,1,4,1.0259613990783691
76,no,exp_cycles_indvary2_step6_batch_yyy10.pl,q6,,,,,,,,,1.0345990657806396
77,no,exp_acyclic_indvary1_step7_batch_yyy08.pl,p3,,,,,,,,,0.9672119617462158
78,no,exp_cycles_indvary1_step7_batch_yyy08.pl,x3,,,,,,,,,0.9775509834289551
79,yes,exp_acyclic_indvary2_step7_batch_yyy08.pl,y2,0,6,17,0,17,0,1,17,1.1455178260803223
80,no,exp_cycles_depvary_step5_batch_yyy07.pl,f4,,,,,,,,,0.9678435325622559
