goal,instance,verdict,duration
a2,exp_acyclic_depvary_step4_batch_yyy02.pl,no,1
q2,exp_acyclic_depvary_step4_batch_yyy03.pl,timeout,120000
f1,exp_acyclic_depvary_step4_batch_yyy03.pl,no,53
d2,exp_acyclic_depvary_step4_batch_yyy04.pl,yes,0
d1,exp_acyclic_depvary_step4_batch_yyy04.pl,yes,6360
s1,exp_acyclic_depvary_step4_batch_yyy04.pl,yes,1032
a1,exp_acyclic_depvary_step4_batch_yyy04.pl,no,1805
a2,exp_acyclic_depvary_step4_batch_yyy05.pl,yes,3
f2,exp_acyclic_depvary_step4_batch_yyy05.pl,no,4
c3,exp_acyclic_depvary_step4_batch_yyy06.pl,no,1
b1,exp_acyclic_depvary_step4_batch_yyy06.pl,no,0
f1,exp_acyclic_depvary_step4_batch_yyy06.pl,no,0
c3,exp_acyclic_depvary_step4_batch_yyy07.pl,yes,6
a2,exp_acyclic_depvary_step4_batch_yyy07.pl,yes,0
x1,exp_acyclic_depvary_step4_batch_yyy08.pl,yes,1
a3,exp_acyclic_depvary_step4_batch_yyy08.pl,yes,12
e2,exp_acyclic_depvary_step4_batch_yyy08.pl,no,0
u1,exp_acyclic_depvary_step4_batch_yyy08.pl,no,1
d2,exp_acyclic_depvary_step4_batch_yyy09.pl,yes,3
x2,exp_acyclic_depvary_step4_batch_yyy09.pl,no,1
f2,exp_acyclic_depvary_step4_batch_yyy10.pl,no,1
a1,exp_acyclic_depvary_step4_batch_yyy10.pl,yes,1
c2,exp_acyclic_depvary_step5_batch_yyy01.pl,no,142
c3,exp_acyclic_depvary_step5_batch_yyy01.pl,yes,7
f1,exp_acyclic_depvary_step5_batch_yyy03.pl,yes,13869
f3,exp_acyclic_depvary_step5_batch_yyy03.pl,no,91968
b1,exp_acyclic_depvary_step5_batch_yyy03.pl,no,1
a3,exp_acyclic_depvary_step5_batch_yyy03.pl,yes,66367
c3,exp_acyclic_depvary_step5_batch_yyy04.pl,no,0
b2,exp_acyclic_depvary_step5_batch_yyy04.pl,yes,4
d2,exp_acyclic_depvary_step5_batch_yyy04.pl,no,1
f2,exp_acyclic_depvary_step5_batch_yyy05.pl,yes,28
f3,exp_acyclic_depvary_step5_batch_yyy05.pl,yes,0
r1,exp_acyclic_depvary_step5_batch_yyy06.pl,yes,735
d1,exp_acyclic_depvary_step5_batch_yyy07.pl,yes,2
c2,exp_acyclic_depvary_step5_batch_yyy08.pl,yes,0
f2,exp_acyclic_depvary_step5_batch_yyy09.pl,yes,3
e1,exp_acyclic_depvary_step5_batch_yyy09.pl,yes,1
c1,exp_acyclic_depvary_step5_batch_yyy09.pl,timeout,120000
a1,exp_acyclic_depvary_step5_batch_yyy09.pl,yes,1
e1,exp_acyclic_depvary_step5_batch_yyy10.pl,no,1
d3,exp_acyclic_depvary_step5_batch_yyy10.pl,no,0
a4,exp_acyclic_depvary_step6_batch_yyy01.pl,no,2
f2,exp_acyclic_depvary_step6_batch_yyy01.pl,timeout,120000
a1,exp_acyclic_depvary_step6_batch_yyy01.pl,timeout,120000
d2,exp_acyclic_depvary_step6_batch_yyy02.pl,no,0
v2,exp_acyclic_depvary_step6_batch_yyy02.pl,yes,73219
r2,exp_acyclic_depvary_step6_batch_yyy03.pl,yes,1459
a1,exp_acyclic_depvary_step6_batch_yyy03.pl,yes,2
c4,exp_acyclic_depvary_step6_batch_yyy04.pl,yes,192
a4,exp_acyclic_depvary_step6_batch_yyy04.pl,yes,11241
f1,exp_acyclic_depvary_step6_batch_yyy05.pl,yes,281
d2,exp_acyclic_depvary_step6_batch_yyy05.pl,timeout,120000
c3,exp_acyclic_depvary_step6_batch_yyy05.pl,no,1
b3,exp_acyclic_depvary_step6_batch_yyy05.pl,yes,0
d3,exp_acyclic_depvary_step6_batch_yyy06.pl,no,1
c4,exp_acyclic_depvary_step6_batch_yyy07.pl,yes,0
b3,exp_acyclic_depvary_step6_batch_yyy08.pl,yes,5
v2,exp_acyclic_depvary_step6_batch_yyy08.pl,timeout,120000
b2,exp_acyclic_depvary_step6_batch_yyy09.pl,yes,7
c2,exp_acyclic_depvary_step6_batch_yyy09.pl,no,1
c1,exp_acyclic_depvary_step6_batch_yyy09.pl,no,10964
c4,exp_acyclic_depvary_step6_batch_yyy09.pl,yes,2
b3,exp_acyclic_depvary_step6_batch_yyy10.pl,yes,3
a4,exp_acyclic_depvary_step6_batch_yyy10.pl,timeout,120000
u3,exp_acyclic_depvary_step7_batch_yyy01.pl,no,66977
f3,exp_acyclic_depvary_step7_batch_yyy01.pl,no,1
a1,exp_acyclic_depvary_step7_batch_yyy01.pl,no,1
e4,exp_acyclic_depvary_step7_batch_yyy02.pl,no,1
d2,exp_acyclic_depvary_step7_batch_yyy02.pl,no,1
p3,exp_acyclic_depvary_step7_batch_yyy03.pl,timeout,120000
e4,exp_acyclic_depvary_step7_batch_yyy03.pl,timeout,120000
b3,exp_acyclic_depvary_step7_batch_yyy03.pl,timeout,120000
b4,exp_acyclic_depvary_step7_batch_yyy03.pl,no,1
b2,exp_acyclic_depvary_step7_batch_yyy04.pl,yes,0
a2,exp_acyclic_depvary_step7_batch_yyy04.pl,timeout,120000
f1,exp_acyclic_depvary_step7_batch_yyy05.pl,no,6
f2,exp_acyclic_depvary_step7_batch_yyy05.pl,no,9
u3,exp_acyclic_depvary_step7_batch_yyy05.pl,timeout,120000
d2,exp_acyclic_depvary_step7_batch_yyy05.pl,no,1
d4,exp_acyclic_depvary_step7_batch_yyy05.pl,yes,0
c2,exp_acyclic_depvary_step7_batch_yyy05.pl,yes,5
d4,exp_acyclic_depvary_step7_batch_yyy06.pl,no,1
b3,exp_acyclic_depvary_step7_batch_yyy06.pl,no,4
a3,exp_acyclic_depvary_step7_batch_yyy06.pl,no,1
c4,exp_acyclic_depvary_step7_batch_yyy06.pl,yes,1
q1,exp_acyclic_depvary_step7_batch_yyy07.pl,yes,7681
c1,exp_acyclic_depvary_step7_batch_yyy07.pl,yes,0
b1,exp_acyclic_depvary_step7_batch_yyy07.pl,timeout,120000
a1,exp_acyclic_depvary_step7_batch_yyy07.pl,timeout,120000
f1,exp_acyclic_depvary_step7_batch_yyy07.pl,no,2
b2,exp_acyclic_depvary_step7_batch_yyy07.pl,yes,0
p3,exp_acyclic_depvary_step7_batch_yyy08.pl,timeout,120000
x3,exp_acyclic_depvary_step7_batch_yyy08.pl,timeout,120001
c3,exp_acyclic_depvary_step7_batch_yyy08.pl,no,2
p1,exp_acyclic_depvary_step7_batch_yyy08.pl,timeout,120000
u4,exp_acyclic_depvary_step7_batch_yyy08.pl,timeout,120001
b2,exp_acyclic_depvary_step7_batch_yyy09.pl,timeout,120001
e2,exp_acyclic_depvary_step7_batch_yyy09.pl,timeout,120001
a3,exp_acyclic_depvary_step7_batch_yyy09.pl,timeout,120000
f2,exp_acyclic_depvary_step7_batch_yyy09.pl,timeout,120000
f4,exp_acyclic_depvary_step7_batch_yyy10.pl,no,1
w2,exp_acyclic_depvary_step7_batch_yyy10.pl,yes,1
f4,exp_acyclic_depvary_step8_batch_yyy01.pl,timeout,120000
c3,exp_acyclic_depvary_step8_batch_yyy01.pl,timeout,120000
c4,exp_acyclic_depvary_step8_batch_yyy01.pl,timeout,120000
e1,exp_acyclic_depvary_step8_batch_yyy01.pl,timeout,120000
r2,exp_acyclic_depvary_step8_batch_yyy02.pl,timeout,120000
f2,exp_acyclic_depvary_step8_batch_yyy02.pl,no,1
f4,exp_acyclic_depvary_step8_batch_yyy03.pl,no,2
c2,exp_acyclic_depvary_step8_batch_yyy03.pl,yes,8
e2,exp_acyclic_depvary_step8_batch_yyy03.pl,timeout,120000
f1,exp_acyclic_depvary_step8_batch_yyy03.pl,timeout,120000
b5,exp_acyclic_depvary_step8_batch_yyy03.pl,no,3
y2,exp_acyclic_depvary_step8_batch_yyy04.pl,timeout,120000
s3,exp_acyclic_depvary_step8_batch_yyy04.pl,yes,11
b2,exp_acyclic_depvary_step8_batch_yyy04.pl,yes,2
b5,exp_acyclic_depvary_step8_batch_yyy04.pl,timeout,120000
f4,exp_acyclic_depvary_step8_batch_yyy05.pl,yes,0
c2,exp_acyclic_depvary_step8_batch_yyy05.pl,timeout,120000
b4,exp_acyclic_depvary_step8_batch_yyy05.pl,yes,8
b2,exp_acyclic_depvary_step8_batch_yyy06.pl,yes,0
w2,exp_acyclic_depvary_step8_batch_yyy06.pl,yes,4
w4,exp_acyclic_depvary_step8_batch_yyy06.pl,timeout,120000
d3,exp_acyclic_depvary_step8_batch_yyy06.pl,timeout,120000
a5,exp_acyclic_depvary_step8_batch_yyy06.pl,timeout,120000
r4,exp_acyclic_depvary_step8_batch_yyy07.pl,timeout,120000
f1,exp_acyclic_depvary_step8_batch_yyy07.pl,yes,0
b2,exp_acyclic_depvary_step8_batch_yyy08.pl,no,1
f2,exp_acyclic_depvary_step8_batch_yyy08.pl,no,4
a2,exp_acyclic_depvary_step8_batch_yyy08.pl,no,2
b4,exp_acyclic_depvary_step8_batch_yyy08.pl,yes,3
x4,exp_acyclic_depvary_step8_batch_yyy09.pl,no,2
a5,exp_acyclic_depvary_step8_batch_yyy09.pl,no,4
c5,exp_acyclic_depvary_step8_batch_yyy09.pl,yes,4
q4,exp_acyclic_depvary_step8_batch_yyy09.pl,no,811
c4,exp_acyclic_depvary_step8_batch_yyy09.pl,no,1
b1,exp_acyclic_depvary_step8_batch_yyy10.pl,timeout,120000
y4,exp_acyclic_depvary_step8_batch_yyy10.pl,yes,101
f4,exp_acyclic_depvary_step9_batch_yyy01.pl,timeout,120000
d5,exp_acyclic_depvary_step9_batch_yyy01.pl,timeout,120000
b4,exp_acyclic_depvary_step9_batch_yyy01.pl,yes,0
f5,exp_acyclic_depvary_step9_batch_yyy01.pl,no,1
y2,exp_acyclic_depvary_step9_batch_yyy02.pl,timeout,120000
d2,exp_acyclic_depvary_step9_batch_yyy02.pl,yes,6
d4,exp_acyclic_depvary_step9_batch_yyy02.pl,no,1
e5,exp_acyclic_depvary_step9_batch_yyy03.pl,yes,7
f2,exp_acyclic_depvary_step9_batch_yyy03.pl,timeout,120000
w3,exp_acyclic_depvary_step9_batch_yyy03.pl,timeout,120000
v2,exp_acyclic_depvary_step9_batch_yyy03.pl,timeout,120000
s1,exp_acyclic_depvary_step9_batch_yyy03.pl,timeout,120000
b1,exp_acyclic_depvary_step9_batch_yyy03.pl,no,6
a5,exp_acyclic_depvary_step9_batch_yyy03.pl,timeout,120000
r5,exp_acyclic_depvary_step9_batch_yyy03.pl,yes,2
f1,exp_acyclic_depvary_step9_batch_yyy04.pl,no,2
c5,exp_acyclic_depvary_step9_batch_yyy04.pl,no,5
b3,exp_acyclic_depvary_step9_batch_yyy04.pl,no,1
a3,exp_acyclic_depvary_step9_batch_yyy04.pl,yes,5
a5,exp_acyclic_depvary_step9_batch_yyy04.pl,yes,26
b2,exp_acyclic_depvary_step9_batch_yyy05.pl,timeout,120001
e4,exp_acyclic_depvary_step9_batch_yyy05.pl,no,3
d1,exp_acyclic_depvary_step9_batch_yyy05.pl,timeout,120000
a5,exp_acyclic_depvary_step9_batch_yyy05.pl,no,3
z2,exp_acyclic_depvary_step9_batch_yyy05.pl,timeout,120000
d5,exp_acyclic_depvary_step9_batch_yyy05.pl,timeout,120000
c5,exp_acyclic_depvary_step9_batch_yyy06.pl,no,6
e4,exp_acyclic_depvary_step9_batch_yyy07.pl,timeout,120001
f5,exp_acyclic_depvary_step9_batch_yyy07.pl,timeout,120000
d4,exp_acyclic_depvary_step9_batch_yyy07.pl,timeout,120000
e1,exp_acyclic_depvary_step9_batch_yyy07.pl,timeout,120001
c5,exp_acyclic_depvary_step9_batch_yyy08.pl,no,1
c3,exp_acyclic_depvary_step9_batch_yyy08.pl,no,1
f3,exp_acyclic_depvary_step9_batch_yyy08.pl,timeout,120000
x2,exp_acyclic_depvary_step9_batch_yyy08.pl,yes,11
b5,exp_acyclic_depvary_step9_batch_yyy09.pl,timeout,120000
d4,exp_acyclic_depvary_step9_batch_yyy09.pl,no,2
a3,exp_acyclic_depvary_step9_batch_yyy09.pl,timeout,120000
e5,exp_acyclic_depvary_step9_batch_yyy09.pl,timeout,120000
v1,exp_acyclic_depvary_step9_batch_yyy09.pl,timeout,120000
f2,exp_acyclic_depvary_step9_batch_yyy09.pl,timeout,120000
e4,exp_acyclic_depvary_step9_batch_yyy10.pl,timeout,120001
d3,exp_acyclic_depvary_step9_batch_yyy10.pl,timeout,120000
t3,exp_acyclic_depvary_step9_batch_yyy10.pl,yes,5
d5,exp_acyclic_depvary_step9_batch_yyy10.pl,no,4
b2,exp_acyclic_indvary1_step1_batch_yyy01.pl,no,40
c3,exp_acyclic_indvary1_step1_batch_yyy01.pl,no,42
f2,exp_acyclic_indvary1_step1_batch_yyy03.pl,no,0
a1,exp_acyclic_indvary1_step1_batch_yyy03.pl,yes,2
e1,exp_acyclic_indvary1_step1_batch_yyy05.pl,yes,2
c2,exp_acyclic_indvary1_step1_batch_yyy06.pl,yes,2
e1,exp_acyclic_indvary1_step1_batch_yyy07.pl,no,0
f2,exp_acyclic_indvary1_step1_batch_yyy07.pl,yes,1
a1,exp_acyclic_indvary1_step1_batch_yyy07.pl,yes,2
a2,exp_acyclic_indvary1_step1_batch_yyy08.pl,no,0
d2,exp_acyclic_indvary1_step1_batch_yyy09.pl,no,1
a1,exp_acyclic_indvary1_step1_batch_yyy09.pl,no,0
c2,exp_acyclic_indvary1_step2_batch_yyy01.pl,no,1
c3,exp_acyclic_indvary1_step2_batch_yyy01.pl,no,1
y1,exp_acyclic_indvary1_step2_batch_yyy02.pl,yes,9
b2,exp_acyclic_indvary1_step2_batch_yyy02.pl,yes,0
q1,exp_acyclic_indvary1_step2_batch_yyy02.pl,no,1363
e1,exp_acyclic_indvary1_step2_batch_yyy03.pl,yes,4
c3,exp_acyclic_indvary1_step2_batch_yyy03.pl,no,9
f1,exp_acyclic_indvary1_step2_batch_yyy04.pl,yes,3
u1,exp_acyclic_indvary1_step2_batch_yyy05.pl,no,3813
d1,exp_acyclic_indvary1_step2_batch_yyy05.pl,no,0
d2,exp_acyclic_indvary1_step2_batch_yyy06.pl,yes,2441
y1,exp_acyclic_indvary1_step2_batch_yyy06.pl,yes,514
q2,exp_acyclic_indvary1_step2_batch_yyy07.pl,no,1267
d1,exp_acyclic_indvary1_step2_batch_yyy07.pl,no,385
b1,exp_acyclic_indvary1_step2_batch_yyy07.pl,no,0
p2,exp_acyclic_indvary1_step2_batch_yyy07.pl,no,1818
v1,exp_acyclic_indvary1_step2_batch_yyy07.pl,no,3798
y1,exp_acyclic_indvary1_step2_batch_yyy08.pl,no,1298
d1,exp_acyclic_indvary1_step2_batch_yyy08.pl,no,27
a2,exp_acyclic_indvary1_step2_batch_yyy08.pl,no,0
c2,exp_acyclic_indvary1_step2_batch_yyy09.pl,yes,0
c1,exp_acyclic_indvary1_step2_batch_yyy09.pl,yes,8114
s1,exp_acyclic_indvary1_step2_batch_yyy09.pl,yes,310
a2,exp_acyclic_indvary1_step2_batch_yyy10.pl,yes,1
t1,exp_acyclic_indvary1_step2_batch_yyy10.pl,no,1
b3,exp_acyclic_indvary1_step2_batch_yyy10.pl,yes,1
f1,exp_acyclic_indvary1_step3_batch_yyy01.pl,yes,1
d2,exp_acyclic_indvary1_step3_batch_yyy01.pl,no,0
w1,exp_acyclic_indvary1_step3_batch_yyy01.pl,no,12296
p2,exp_acyclic_indvary1_step3_batch_yyy01.pl,no,2749
f2,exp_acyclic_indvary1_step3_batch_yyy03.pl,yes,1024
d2,exp_acyclic_indvary1_step3_batch_yyy03.pl,yes,3
c3,exp_acyclic_indvary1_step3_batch_yyy04.pl,no,0
e2,exp_acyclic_indvary1_step3_batch_yyy04.pl,yes,2
y1,exp_acyclic_indvary1_step3_batch_yyy05.pl,yes,1
b3,exp_acyclic_indvary1_step3_batch_yyy05.pl,no,2
a1,exp_acyclic_indvary1_step3_batch_yyy05.pl,no,2
c3,exp_acyclic_indvary1_step3_batch_yyy06.pl,yes,0
d1,exp_acyclic_indvary1_step3_batch_yyy06.pl,no,1
t2,exp_acyclic_indvary1_step3_batch_yyy06.pl,no,147
f2,exp_acyclic_indvary1_step3_batch_yyy07.pl,yes,3
c1,exp_acyclic_indvary1_step3_batch_yyy07.pl,yes,0
f1,exp_acyclic_indvary1_step3_batch_yyy07.pl,no,3762
b2,exp_acyclic_indvary1_step3_batch_yyy07.pl,yes,0
f2,exp_acyclic_indvary1_step3_batch_yyy08.pl,no,222
e2,exp_acyclic_indvary1_step3_batch_yyy08.pl,no,543
f1,exp_acyclic_indvary1_step3_batch_yyy08.pl,yes,3
b2,exp_acyclic_indvary1_step3_batch_yyy08.pl,no,1
t1,exp_acyclic_indvary1_step3_batch_yyy08.pl,no,18890
t2,exp_acyclic_indvary1_step3_batch_yyy09.pl,no,2
p2,exp_acyclic_indvary1_step3_batch_yyy09.pl,no,90556
d1,exp_acyclic_indvary1_step3_batch_yyy09.pl,no,0
y1,exp_acyclic_indvary1_step3_batch_yyy10.pl,yes,1
q1,exp_acyclic_indvary1_step3_batch_yyy10.pl,yes,428
b2,exp_acyclic_indvary1_step4_batch_yyy02.pl,no,2
e1,exp_acyclic_indvary1_step4_batch_yyy03.pl,yes,2
b3,exp_acyclic_indvary1_step4_batch_yyy04.pl,yes,4
a2,exp_acyclic_indvary1_step4_batch_yyy04.pl,yes,0
d2,exp_acyclic_indvary1_step4_batch_yyy04.pl,no,72
e1,exp_acyclic_indvary1_step4_batch_yyy05.pl,yes,1
f1,exp_acyclic_indvary1_step4_batch_yyy07.pl,yes,1
s2,exp_acyclic_indvary1_step4_batch_yyy07.pl,no,648
b3,exp_acyclic_indvary1_step4_batch_yyy07.pl,yes,105
c1,exp_acyclic_indvary1_step4_batch_yyy08.pl,yes,0
a2,exp_acyclic_indvary1_step4_batch_yyy08.pl,yes,2
f2,exp_acyclic_indvary1_step4_batch_yyy08.pl,yes,1
q1,exp_acyclic_indvary1_step4_batch_yyy09.pl,no,103
b2,exp_acyclic_indvary1_step4_batch_yyy10.pl,yes,0
y3,exp_acyclic_indvary1_step5_batch_yyy01.pl,yes,43
x4,exp_acyclic_indvary1_step5_batch_yyy02.pl,yes,120
a2,exp_acyclic_indvary1_step5_batch_yyy02.pl,no,1
c2,exp_acyclic_indvary1_step5_batch_yyy03.pl,yes,0
e1,exp_acyclic_indvary1_step5_batch_yyy03.pl,no,1
a3,exp_acyclic_indvary1_step5_batch_yyy03.pl,no,37
f1,exp_acyclic_indvary1_step5_batch_yyy04.pl,no,0
a1,exp_acyclic_indvary1_step5_batch_yyy04.pl,no,1
e1,exp_acyclic_indvary1_step5_batch_yyy05.pl,yes,0
c1,exp_acyclic_indvary1_step5_batch_yyy05.pl,yes,2
b1,exp_acyclic_indvary1_step5_batch_yyy05.pl,no,0
y3,exp_acyclic_indvary1_step5_batch_yyy06.pl,yes,1
b1,exp_acyclic_indvary1_step5_batch_yyy06.pl,yes,0
b2,exp_acyclic_indvary1_step5_batch_yyy07.pl,yes,1
b3,exp_acyclic_indvary1_step5_batch_yyy07.pl,no,0
a1,exp_acyclic_indvary1_step5_batch_yyy07.pl,yes,0
a3,exp_acyclic_indvary1_step5_batch_yyy09.pl,yes,0
p4,exp_acyclic_indvary1_step5_batch_yyy10.pl,no,913
b1,exp_acyclic_indvary1_step5_batch_yyy10.pl,yes,4
d2,exp_acyclic_indvary1_step6_batch_yyy02.pl,no,0
u5,exp_acyclic_indvary1_step6_batch_yyy02.pl,yes,1
b3,exp_acyclic_indvary1_step6_batch_yyy02.pl,no,0
x5,exp_acyclic_indvary1_step6_batch_yyy02.pl,no,1
f1,exp_acyclic_indvary1_step6_batch_yyy03.pl,no,1
v5,exp_acyclic_indvary1_step6_batch_yyy03.pl,no,4
a3,exp_acyclic_indvary1_step6_batch_yyy03.pl,yes,4
e2,exp_acyclic_indvary1_step6_batch_yyy04.pl,yes,0
b3,exp_acyclic_indvary1_step6_batch_yyy04.pl,yes,0
y4,exp_acyclic_indvary1_step6_batch_yyy05.pl,yes,1
b3,exp_acyclic_indvary1_step6_batch_yyy05.pl,yes,0
a2,exp_acyclic_indvary1_step6_batch_yyy05.pl,yes,0
e2,exp_acyclic_indvary1_step6_batch_yyy05.pl,yes,0
d2,exp_acyclic_indvary1_step6_batch_yyy05.pl,yes,0
d1,exp_acyclic_indvary1_step6_batch_yyy06.pl,yes,0
b3,exp_acyclic_indvary1_step6_batch_yyy06.pl,no,101
b1,exp_acyclic_indvary1_step6_batch_yyy06.pl,no,0
c3,exp_acyclic_indvary1_step6_batch_yyy07.pl,no,0
b3,exp_acyclic_indvary1_step6_batch_yyy07.pl,yes,5
c1,exp_acyclic_indvary1_step6_batch_yyy07.pl,no,0
b1,exp_acyclic_indvary1_step6_batch_yyy07.pl,yes,0
c3,exp_acyclic_indvary1_step6_batch_yyy08.pl,yes,0
a3,exp_acyclic_indvary1_step6_batch_yyy08.pl,yes,0
y3,exp_acyclic_indvary1_step6_batch_yyy08.pl,yes,1
w2,exp_acyclic_indvary1_step6_batch_yyy09.pl,yes,1
b1,exp_acyclic_indvary1_step6_batch_yyy09.pl,yes,0
c3,exp_acyclic_indvary1_step6_batch_yyy10.pl,yes,0
a1,exp_acyclic_indvary1_step6_batch_yyy10.pl,yes,0
d2,exp_acyclic_indvary1_step7_batch_yyy01.pl,yes,0
c3,exp_acyclic_indvary1_step7_batch_yyy02.pl,no,2
