goal,instance,verdict,duration
b6,exp_acyclic_depvary_step10_batch_yyy01.pl,no,17
c3,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,17
d3,exp_acyclic_depvary_step10_batch_yyy01.pl,no,17
c6,exp_acyclic_depvary_step10_batch_yyy02.pl,no,16
d2,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,16
d4,exp_acyclic_depvary_step10_batch_yyy02.pl,no,16
e2,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,16
b4,exp_acyclic_depvary_step10_batch_yyy02.pl,no,16
f4,exp_acyclic_depvary_step10_batch_yyy03.pl,no,19
f1,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,19
v5,exp_acyclic_depvary_step10_batch_yyy03.pl,no,19
a3,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,19
b5,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,19
d4,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,19
a2,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,19
e2,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,20
e3,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,19
e5,exp_acyclic_depvary_step10_batch_yyy05.pl,no,18
c5,exp_acyclic_depvary_step10_batch_yyy05.pl,yes,18
b4,exp_acyclic_depvary_step10_batch_yyy05.pl,yes,18
a3,exp_acyclic_depvary_step10_batch_yyy05.pl,no,18
p2,exp_acyclic_depvary_step10_batch_yyy05.pl,yes,18
f1,exp_acyclic_depvary_step10_batch_yyy06.pl,yes,20
f2,exp_acyclic_depvary_step10_batch_yyy06.pl,yes,20
z3,exp_acyclic_depvary_step10_batch_yyy06.pl,yes,20
c3,exp_acyclic_depvary_step10_batch_yyy06.pl,yes,20
b4,exp_acyclic_depvary_step10_batch_yyy06.pl,yes,20
a1,exp_acyclic_depvary_step10_batch_yyy06.pl,no,20
e2,exp_acyclic_depvary_step10_batch_yyy07.pl,yes,18
c4,exp_acyclic_depvary_step10_batch_yyy07.pl,yes,18
c6,exp_acyclic_depvary_step10_batch_yyy07.pl,no,18
b5,exp_acyclic_depvary_step10_batch_yyy07.pl,yes,18
a2,exp_acyclic_depvary_step10_batch_yyy07.pl,yes,18
f4,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,17
d5,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,17
q5,exp_acyclic_depvary_step10_batch_yyy08.pl,no,17
b1,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,17
c5,exp_acyclic_depvary_step10_batch_yyy09.pl,yes,20
s1,exp_acyclic_depvary_step10_batch_yyy09.pl,no,20
a3,exp_acyclic_depvary_step10_batch_yyy09.pl,no,21
b2,exp_acyclic_depvary_step10_batch_yyy09.pl,no,20
b5,exp_acyclic_depvary_step10_batch_yyy09.pl,yes,20
e2,exp_acyclic_depvary_step10_batch_yyy10.pl,no,18
b6,exp_acyclic_depvary_step10_batch_yyy10.pl,no,18
w5,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,18
d3,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,18
t1,exp_acyclic_depvary_step1_batch_yyy01.pl,yes,1
f1,exp_acyclic_depvary_step1_batch_yyy02.pl,no,1
c1,exp_acyclic_depvary_step1_batch_yyy03.pl,no,2
a1,exp_acyclic_depvary_step1_batch_yyy03.pl,no,1
f1,exp_acyclic_depvary_step1_batch_yyy05.pl,no,2
f1,exp_acyclic_depvary_step1_batch_yyy06.pl,no,1
a1,exp_acyclic_depvary_step1_batch_yyy07.pl,yes,1
a1,exp_acyclic_depvary_step1_batch_yyy08.pl,yes,1
f1,exp_acyclic_depvary_step1_batch_yyy09.pl,no,2
d1,exp_acyclic_depvary_step1_batch_yyy10.pl,no,1
b1,exp_acyclic_depvary_step1_batch_yyy10.pl,yes,1
c1,exp_acyclic_depvary_step2_batch_yyy02.pl,yes,2
z1,exp_acyclic_depvary_step2_batch_yyy02.pl,yes,2
c2,exp_acyclic_depvary_step2_batch_yyy03.pl,yes,2
e1,exp_acyclic_depvary_step2_batch_yyy03.pl,no,2
a2,exp_acyclic_depvary_step2_batch_yyy04.pl,yes,2
q1,exp_acyclic_depvary_step2_batch_yyy05.pl,no,2
d1,exp_acyclic_depvary_step2_batch_yyy05.pl,no,2
a1,exp_acyclic_depvary_step2_batch_yyy05.pl,no,2
f1,exp_acyclic_depvary_step2_batch_yyy07.pl,yes,2
e1,exp_acyclic_depvary_step2_batch_yyy07.pl,no,2
b1,exp_acyclic_depvary_step2_batch_yyy08.pl,no,2
d1,exp_acyclic_depvary_step2_batch_yyy09.pl,yes,2
b1,exp_acyclic_depvary_step2_batch_yyy09.pl,yes,2
d1,exp_acyclic_depvary_step2_batch_yyy10.pl,yes,2
b2,exp_acyclic_depvary_step2_batch_yyy10.pl,yes,2
a1,exp_acyclic_depvary_step2_batch_yyy10.pl,yes,2
f1,exp_acyclic_depvary_step3_batch_yyy01.pl,yes,3
b1,exp_acyclic_depvary_step3_batch_yyy01.pl,no,3
f1,exp_acyclic_depvary_step3_batch_yyy03.pl,no,3
c2,exp_acyclic_depvary_step3_batch_yyy03.pl,yes,3
a1,exp_acyclic_depvary_step3_batch_yyy03.pl,yes,3
c2,exp_acyclic_depvary_step3_batch_yyy04.pl,no,3
c1,exp_acyclic_depvary_step3_batch_yyy04.pl,no,3
t2,exp_acyclic_depvary_step3_batch_yyy05.pl,no,3
f1,exp_acyclic_depvary_step3_batch_yyy05.pl,yes,3
b2,exp_acyclic_depvary_step3_batch_yyy05.pl,yes,3
y1,exp_acyclic_depvary_step3_batch_yyy06.pl,yes,3
f2,exp_acyclic_depvary_step3_batch_yyy07.pl,no,3
e1,exp_acyclic_depvary_step3_batch_yyy08.pl,yes,3
d1,exp_acyclic_depvary_step3_batch_yyy08.pl,no,3
c1,exp_acyclic_depvary_step3_batch_yyy08.pl,no,3
c2,exp_acyclic_depvary_step3_batch_yyy09.pl,no,3
s1,exp_acyclic_depvary_step3_batch_yyy09.pl,yes,3
f1,exp_acyclic_depvary_step3_batch_yyy10.pl,no,3
d2,exp_acyclic_depvary_step3_batch_yyy10.pl,no,3
b2,exp_acyclic_depvary_step4_batch_yyy01.pl,no,4
a2,exp_acyclic_depvary_step4_batch_yyy02.pl,no,4
q2,exp_acyclic_depvary_step4_batch_yyy03.pl,yes,4
f1,exp_acyclic_depvary_step4_batch_yyy03.pl,no,4
d2,exp_acyclic_depvary_step4_batch_yyy04.pl,yes,4
d1,exp_acyclic_depvary_step4_batch_yyy04.pl,yes,4
s1,exp_acyclic_depvary_step4_batch_yyy04.pl,yes,4
a1,exp_acyclic_depvary_step4_batch_yyy04.pl,no,4
a2,exp_acyclic_depvary_step4_batch_yyy05.pl,yes,4
f2,exp_acyclic_depvary_step4_batch_yyy05.pl,no,4
c3,exp_acyclic_depvary_step4_batch_yyy06.pl,no,3
b1,exp_acyclic_depvary_step4_batch_yyy06.pl,no,3
f1,exp_acyclic_depvary_step4_batch_yyy06.pl,no,3
c3,exp_acyclic_depvary_step4_batch_yyy07.pl,yes,4
a2,exp_acyclic_depvary_step4_batch_yyy07.pl,yes,4
x1,exp_acyclic_depvary_step4_batch_yyy08.pl,yes,4
a3,exp_acyclic_depvary_step4_batch_yyy08.pl,yes,4
e2,exp_acyclic_depvary_step4_batch_yyy08.pl,no,4
u1,exp_acyclic_depvary_step4_batch_yyy08.pl,no,4
d2,exp_acyclic_depvary_step4_batch_yyy09.pl,yes,4
x2,exp_acyclic_depvary_step4_batch_yyy09.pl,no,4
f2,exp_acyclic_depvary_step4_batch_yyy10.pl,no,4
a1,exp_acyclic_depvary_step4_batch_yyy10.pl,yes,4
c2,exp_acyclic_depvary_step5_batch_yyy01.pl,no,6
c3,exp_acyclic_depvary_step5_batch_yyy01.pl,yes,6
f1,exp_acyclic_depvary_step5_batch_yyy03.pl,yes,5
